entryNumber, fileId, fileName, subject, dish, startTimeSeconds, endTimeSeconds, startFrame, endFrame, activity, tool, toolProperties, ingredients, ingredientsProperties, containers, containersProperties, containersSource, containersDestination, className
4553, 77, s17-d61-cam-002, 17, 61, 4.003, 5.646, 117, 165, enterV, ,,,,,,,,enterV
4554, 77, s17-d61-cam-002, 17, 61, 6.085, 10.034, 178, 294, take outV, hand,,chefs-knife,,drawer,,drawer,,take outVhandchefs knifedrawer
4555, 77, s17-d61-cam-002, 17, 61, 10.034, 11.904, 294, 349, test sharpnessV, finger,,chefs-knife,,,,,,test sharpnessVfingerchefs knife
4556, 77, s17-d61-cam-002, 17, 61, 12.433, 15.473, 365, 454, take outV, hand,,knife-sharpener,,drawer,,drawer,,take outVhandknife sharpenerdrawer
4557, 77, s17-d61-cam-002, 17, 61, 16.896, 34.552, 496, 1015, sharpenV, knife-sharpener,,chefs-knife,,,,,,sharpenVknife sharpenerchefs knife
4558, 78, s17-d62-cam-002, 17, 62, 4.149, 5.136, 121, 150, enterV, ,,,,,,,,enterV
4559, 78, s17-d62-cam-002, 17, 62, 6.106, 9.453, 179, 277, take outV, hand,,cutting-board,,drawer,,drawer,counter,take outVhandcutting boarddrawercounter
4560, 78, s17-d62-cam-002, 17, 62, 9.806, 14.285, 288, 419, take outV, hand,,side-peeler,,drawer,,drawer,counter,take outVhandside peelerdrawercounter
4561, 78, s17-d62-cam-002, 17, 62, 14.285, 15.612, 419, 458, closeV, hand,,,,drawer,,drawer,,closeVhanddrawer
4562, 78, s17-d62-cam-002, 17, 62, 16.271, 20.713, 478, 608, take outV, hand,,carrot,,fridge,,fridge,,take outVhandcarrotfridge
4563, 78, s17-d62-cam-002, 17, 62, 24.066, 75.18, 707, 2210, peelV, side-peeler,,carrot,,,,,,peelVside peelercarrot
4564, 78, s17-d62-cam-002, 17, 62, 76.087, 81.832, 2236, 2405, cut off endsV, side-peeler,,carrot,peeled ,,,,,cut off endsVside peelercarrot
4565, 78, s17-d62-cam-002, 17, 62, 84.085, 90.219, 2472, 2652, throw in garbageV, cutting-board,,peel,carrot ,,,,,throw in garbageVcutting boardpeel
4566, 78, s17-d62-cam-002, 17, 62, 91.269, 91.911, 2683, 2702, moveV, hand,,carrot,peeled ,counter,,counter,cutting-board,moveVhandcarrotcountercutting board
4567, 79, s17-d65-cam-002, 17, 65, 4.602, 5.102, 135, 149, enterV, ,,,,,,,,enterV
4568, 79, s17-d65-cam-002, 17, 65, 7.395, 13.503, 217, 396, take outV, hand,,pestle,,drawer,,drawer,counter,take outVhandpestlemortardrawercounter
4569, 79, s17-d65-cam-002, 17, 65, 15.233, 19.912, 447, 585, take outV, hand,,jar,peppercorn ,cupboard,,cupboard,,take outVhandjarcupboard
4570, 79, s17-d65-cam-002, 17, 65, 20.104, 21.737, 591, 639, screw openV, hand,,jar,peppercorn ,,,,,screw openVhandjar
4571, 79, s17-d65-cam-002, 17, 65, 22.611, 25.131, 664, 738, take outV, hand,,teaspoon,,drawer,,drawer,,take outVhandteaspoondrawer
4572, 79, s17-d65-cam-002, 17, 65, 25.452, 30.132, 748, 885, addV, teaspoon,,peppercorn,,jar,,jar,mortar,addVteaspoonpeppercornjarmortar
4573, 79, s17-d65-cam-002, 17, 65, 30.981, 32.981, 910, 969, screw closeV, hand,,jar,peppercorn ,counter,,counter,,screw closeVhandjarcounter
4574, 79, s17-d65-cam-002, 17, 65, 33.699, 63.882, 990, 1878, grindV, pestle,,peppercorn,,mortar,,mortar,,grindVpestlepeppercornmortar
4575, 79, s17-d65-cam-002, 17, 65, 68.326, 77.842, 2008, 2288, take outV, hand,,bowl,,cupboard,,cupboard,,take outVhandbowlcupboard
4576, 79, s17-d65-cam-002, 17, 65, 78.007, 78.877, 2293, 2318, shakeV, hand,,pestle,,,,,,shakeVhandpestle
4577, 79, s17-d65-cam-002, 17, 65, 80.121, 84.211, 2355, 2475, addV, mortar,,peppercorn,ground ,mortar,,mortar,bowl,addVmortarpeppercornmortarbowl
4578, 79, s17-d65-cam-002, 17, 65, 85.643, 91.847, 2517, 2700, addV, mortar,,peppercorn,ground ,mortar,,mortar,bowl,addVmortarteaspoonpeppercornmortarbowl
4579, 79, s17-d65-cam-002, 17, 65, 95.46, 96.54, 2806, 2838, moveV, hand,,pestle,,counter,,counter,mortar,moveVhandpestlecountermortar
4580, 79, s17-d65-cam-002, 17, 65, 97.096, 97.891, 2854, 2877, screw closeV, hand,,jar,peppercorn ,counter,,counter,,screw closeVhandjarcounter
4581, 79, s17-d65-cam-002, 17, 65, 97.891, 102.336, 2877, 3008, put inV, hand,,jar,peppercorn ,counter,,counter,cupboard,put inVhandjarcountercupboard
4582, 80, s17-d68-cam-002, 17, 68, 4.319, 5.612, 126, 164, enterV, ,,,,,,,,enterV
4583, 80, s17-d68-cam-002, 17, 68, 6.728, 10.324, 197, 303, take outV, hand,,cutting-board,,drawer,,drawer,counter,take outVhandcutting boarddrawercounter
4584, 80, s17-d68-cam-002, 17, 68, 10.86, 13.021, 319, 382, take outV, hand,,flat-grater,,drawer,,drawer,counter,take outVhandflat graterdrawercounter
4585, 80, s17-d68-cam-002, 17, 68, 14.497, 18.454, 426, 542, take outV, hand,,plastic-bag,cheese ,fridge,,fridge,,take outVhandplastic bagfridge
4586, 80, s17-d68-cam-002, 17, 68, 21.113, 26.942, 620, 792, remove from packageV, hand,,cheese,,plastic-bag,,plastic-bag,,remove from packageVhandcheeseplastic bag
4587, 80, s17-d68-cam-002, 17, 68, 27.487, 28.823, 808, 847, moveV, hand,,flat-grater,,counter,,counter,cutting-board,moveVhandflat gratercountercutting board
4588, 80, s17-d68-cam-002, 17, 68, 29.615, 37.165, 870, 1092, grateV, flat-grater,,cheese,,cutting-board,,cutting-board,,grateVflat gratercheesecutting board
4589, 80, s17-d68-cam-002, 17, 68, 39.517, 44.251, 1161, 1300, grateV, flat-grater,,cheese,piece ,cutting-board,,cutting-board,,grateVflat gratercheesecutting board
4590, 80, s17-d68-cam-002, 17, 68, 45.884, 52.034, 1348, 1529, scratch offV, hand,,cheese,grated ,flat-grater,,flat-grater,cutting-board,scratch offVhandcheeseflat gratercutting board
4591, 80, s17-d68-cam-002, 17, 68, 52.086, 53.109, 1531, 1561, moveV, hand,,flat-grater,,,,,counter,moveVhandflat gratercounter
4592, 80, s17-d68-cam-002, 17, 68, 53.739, 55.653, 1579, 1636, packageV, hand,,cheese,,plastic-bag,,plastic-bag,,packageVhandcheeseplastic bag
4593, 80, s17-d68-cam-002, 17, 68, 56.669, 60.557, 1666, 1780, put inV, hand,,plastic-bag,cheese ,,,,fridge,put inVhandplastic bagfridge
4594, 81, s17-d69-cam-002, 17, 69, 4.931, 6.36, 144, 186, enterV, ,,,,,,,,enterV
4595, 81, s17-d69-cam-002, 17, 69, 7.623, 12.186, 224, 358, take outV, hand,,frying-pan,,drawer,,drawer,stove,take outVhandfrying pandrawerstove
4596, 81, s17-d69-cam-002, 17, 69, 14.241, 24.913, 418, 732, take outV, hand,,egg,,fridge,,fridge,counter,take outVhandeggfridgecounter
4597, 81, s17-d69-cam-002, 17, 69, 28.628, 34.501, 841, 1014, take outV, hand,,cup,,cupboard,,cupboard,counter,take outVhandcupcupboardcounter
4598, 81, s17-d69-cam-002, 17, 69, 34.587, 41.176, 1016, 1210, take outV, hand,,fork,,drawer,,drawer,counter,take outVhandforkdrawercounter
4599, 81, s17-d69-cam-002, 17, 69, 42.101, 45.952, 1237, 1350, open eggV, hand,,egg,,cup,,cup,,open eggVhandcupeggcup
4600, 81, s17-d69-cam-002, 17, 69, 45.952, 48.605, 1350, 1428, shakeV, hand,,eggshell,,,,,,shakeVhandeggshell
4601, 81, s17-d69-cam-002, 17, 69, 50.35, 52.878, 1480, 1554, throw in garbageV, hand,,eggshell,,,,,,throw in garbageVhandeggshell
4602, 81, s17-d69-cam-002, 17, 69, 55.35, 56.542, 1627, 1662, take outV, hand,,spice-shaker,salt ,spice-holder,,spice-holder,,take outVhandspice shakerspice holder
4603, 81, s17-d69-cam-002, 17, 69, 56.818, 58.573, 1670, 1722, screw openV, hand,,spice-shaker,salt ,,,,,screw openVhandspice shaker
4604, 81, s17-d69-cam-002, 17, 69, 58.837, 64.774, 1729, 1904, spiceV, spice-shaker,,salt,,cup,egg,cup,,spiceVspice shakersaltcup
4605, 81, s17-d69-cam-002, 17, 69, 65.352, 66.656, 1921, 1959, screw closeV, hand,,spice-shaker,salt ,,,,,screw closeVhandspice shaker
4606, 81, s17-d69-cam-002, 17, 69, 67.058, 68.796, 1971, 2022, put inV, hand,,spice-shaker,salt ,,,,spice-holder,put inVhandspice shakerspice holder
4607, 81, s17-d69-cam-002, 17, 69, 69.293, 70.929, 2037, 2085, take outV, hand,,spice-shaker,pepper ,spice-holder,,spice-holder,,take outVhandspice shakerspice holder
4608, 81, s17-d69-cam-002, 17, 69, 71.426, 71.989, 2099, 2116, screw openV, hand,,spice-shaker,pepper ,,,,,screw openVhandspice shaker
4609, 81, s17-d69-cam-002, 17, 69, 72.39, 74.455, 2128, 2188, spiceV, spice-shaker,,pepper,,cup,egg,cup,,spiceVspice shakerpeppercup
4610, 81, s17-d69-cam-002, 17, 69, 74.902, 76.949, 2202, 2262, screw closeV, hand,,spice-shaker,pepper ,,,,,screw closeVhandspice shaker
4611, 81, s17-d69-cam-002, 17, 69, 77.236, 78.364, 2270, 2303, put inV, hand,,spice-shaker,pepper ,,,,spice-holder,put inVhandspice shakerspice holder
4612, 81, s17-d69-cam-002, 17, 69, 80.774, 99.998, 2374, 2939, stirV, fork,,egg,,cup,,cup,,stirVforkeggcup
4613, 81, s17-d69-cam-002, 17, 69, 103.542, 108.477, 3044, 3189, washV, hand,,hand,,,,,,washVhandhand
4614, 81, s17-d69-cam-002, 17, 69, 109.453, 111.938, 3217, 3290, dryV, towel,,hand,,,,,,dryVtowelhand
4615, 81, s17-d69-cam-002, 17, 69, 111.938, 114.081, 3290, 3353, hangV, hand,,towel,,,,,handle,hangVhandtowelhandle
4616, 81, s17-d69-cam-002, 17, 69, 115.995, 119.965, 3410, 3526, turn onV, hand,,stove,,,,,,turn onVhandstove
4617, 81, s17-d69-cam-002, 17, 69, 119.965, 122.585, 3526, 3603, change temperatureV, hand,,stove,,,,,,change temperatureVhandstove
4618, 81, s17-d69-cam-002, 17, 69, 124.95, 131.752, 3673, 3873, take outV, hand,,bottle,oil ,cupboard,,cupboard,,take outVhandbottlecupboard
4619, 81, s17-d69-cam-002, 17, 69, 133.048, 135.422, 3911, 3981, screw openV, hand,,bottle,oil ,,,,,screw openVhandbottle
4620, 81, s17-d69-cam-002, 17, 69, 135.734, 137.619, 3990, 4045, pourV, bottle,oil ,oil,,frying-pan,,frying-pan,,pourVbottleoilfrying pan
4621, 81, s17-d69-cam-002, 17, 69, 139.455, 141.448, 4099, 4158, pourV, bottle,oil ,oil,,frying-pan,oil,frying-pan,,pourVbottleoilfrying pan
4622, 81, s17-d69-cam-002, 17, 69, 142.277, 145.197, 4182, 4268, screw closeV, hand,,bottle,oil ,,,,,screw closeVhandbottle
4623, 81, s17-d69-cam-002, 17, 69, 146.39, 149.405, 4303, 4392, put inV, hand,,bottle,oil ,,,,cupboard,put inVhandbottlecupboard
4624, 81, s17-d69-cam-002, 17, 69, 151.17, 156.217, 4444, 4592, spreadV, frying-pan,,oil,,frying-pan,,frying-pan,,spreadVfrying panoilfrying pan
4625, 81, s17-d69-cam-002, 17, 69, 161.885, 165.469, 4759, 4864, stirV, fork,,egg,stirred ,cup,,cup,,stirVforkeggcup
4626, 81, s17-d69-cam-002, 17, 69, 169.728, 180.719, 4990, 5313, stirV, fork,,egg,stirred ,cup,,cup,,stirVforkeggcup
4627, 81, s17-d69-cam-002, 17, 69, 183.738, 196.154, 5401, 5766, addV, fork,,egg,stirred ,cup,,cup,frying-pan,addVforkcupeggcupfrying pan
4628, 81, s17-d69-cam-002, 17, 69, 198.049, 201.354, 5822, 5919, moveV, hand,,cup,fork ,,,,sink,moveVhandcupsink
4629, 81, s17-d69-cam-002, 17, 69, 204.119, 206.279, 6001, 6064, change temperatureV, hand,,stove,,,,,,change temperatureVhandstove
4630, 81, s17-d69-cam-002, 17, 69, 235.01, 239.49, 6909, 7041, take outV, hand,,spatula,,drawer,,drawer,,take outVhandspatuladrawer
4631, 81, s17-d69-cam-002, 17, 69, 255.983, 256.806, 7525, 7550, moveV, hand,,spatula,,,,,counter,moveVhandspatulacounter
4632, 81, s17-d69-cam-002, 17, 69, 258.512, 265.643, 7600, 7809, take outV, hand,,bowl,parsley chopped ,cupboard,,cupboard,counter,take outVhandbowlcupboardcounter
4633, 81, s17-d69-cam-002, 17, 69, 266.065, 275.714, 7822, 8105, strewV, hand,,parsley,chopped ,bowl,,bowl,frying-pan,strewVhandparsleybowlfrying pan
4634, 81, s17-d69-cam-002, 17, 69, 275.85, 279.829, 8109, 8226, strewV, hand,,parsley,chopped ,bowl,,bowl,frying-pan,strewVhandparsleybowlfrying pan
4635, 81, s17-d69-cam-002, 17, 69, 280.187, 285.836, 8237, 8403, put inV, hand,,bowl,parsley chopped ,counter,,counter,cupboard,put inVhandbowlcountercupboard
4636, 81, s17-d69-cam-002, 17, 69, 289.387, 294.231, 8507, 8650, moveV, spatula,,parsley,chopped ,frying-pan,,frying-pan,frying-pan,moveVspatulaparsleyfrying panfrying pan
4637, 81, s17-d69-cam-002, 17, 69, 309.822, 310.979, 9108, 9142, moveV, hand,,spatula,,,,,counter,moveVhandspatulacounter
4638, 81, s17-d69-cam-002, 17, 69, 312.667, 321.083, 9192, 9439, take outV, hand,,plate,,cupboard,,cupboard,counter,take outVhandplatecupboardcounter
4639, 81, s17-d69-cam-002, 17, 69, 328.474, 336.329, 9657, 9888, take outV, hand,,fork,,drawer,,drawer,counter,take outVhandforktable knifedrawercounter
4640, 81, s17-d69-cam-002, 17, 69, 397.094, 399.279, 11674, 11738, turn offV, hand,,stove,,,,,,turn offVhandstove
4641, 81, s17-d69-cam-002, 17, 69, 405.185, 413.973, 11912, 12170, moveV, spatula,,egg,scrambled ,frying-pan,,frying-pan,plate,moveVspatulafrying paneggfrying panplate
4642, 81, s17-d69-cam-002, 17, 69, 413.973, 415.949, 12170, 12228, moveV, hand,,frying-pan,,,,,stove,moveVhandfrying panstove
4643, 81, s17-d69-cam-002, 17, 69, 418.662, 420.03, 12308, 12348, moveV, hand,,fork,,counter,,counter,counter,moveVhandforkcountercounter
4644, 81, s17-d69-cam-002, 17, 69, 420.486, 421.713, 12362, 12398, moveV, hand,,table-knife,,counter,,counter,counter,moveVhandtable knifecountercounter
4645, 82, s17-d71-cam-002, 17, 71, 3.503, 4.489, 102, 131, enterV, ,,,,,,,,enterV
4646, 82, s17-d71-cam-002, 17, 71, 4.518, 9.557, 132, 280, take outV, hand,,pot,,drawer,,drawer,,take outVhandpotdrawer
4647, 82, s17-d71-cam-002, 17, 71, 11.692, 16.731, 343, 491, fillV, tap,,water,,,,,pot,fillVtapwaterpot
4648, 82, s17-d71-cam-002, 17, 71, 16.894, 18.852, 496, 554, moveV, hand,,pot,water ,,,,stove,moveVhandpotstove
4649, 82, s17-d71-cam-002, 17, 71, 19.725, 21.428, 579, 629, turn onV, hand,,stove,,,,,,turn onVhandstove
4650, 82, s17-d71-cam-002, 17, 71, 21.428, 22.585, 629, 663, change temperatureV, hand,,stove,,,,,,change temperatureVhandstove
4651, 82, s17-d71-cam-002, 17, 71, 23.596, 26.501, 693, 779, take outV, hand,,lid,,drawer,,drawer,pot,take outVhandliddrawerpot
4652, 82, s17-d71-cam-002, 17, 71, 28.523, 34.315, 838, 1008, take outV, hand,,jar,hot-dog ,fridge,,fridge,counter,take outVhandjarfridgecounter
4653, 82, s17-d71-cam-002, 17, 71, 34.731, 37.919, 1021, 1114, take outV, hand,,fork,,drawer,,drawer,,take outVhandforkdrawer
4654, 82, s17-d71-cam-002, 17, 71, 41.97, 43.765, 1233, 1286, screw openV, hand,,jar,hot-dog ,counter,,counter,,screw openVhandjarcounter
4655, 82, s17-d71-cam-002, 17, 71, 45.269, 46.853, 1330, 1377, take lidV, hand,,lid,,pot,,pot,,take lidVhandlidpot
4656, 82, s17-d71-cam-002, 17, 71, 48.726, 52.823, 1432, 1552, addV, fork,,hot-dog,,jar,hot-dog,jar,pot,addVforkhot dogjarpot
4657, 82, s17-d71-cam-002, 17, 71, 52.925, 57.176, 1555, 1680, addV, fork,,hot-dog,,jar,hot-dog,jar,pot,addVforkhot dogjarpot
4658, 82, s17-d71-cam-002, 17, 71, 58.097, 59.491, 1708, 1749, put lidV, hand,,lid,,pot,,pot,,put lidVhandlidpot
4659, 82, s17-d71-cam-002, 17, 71, 61.913, 62.729, 1820, 1844, screw closeV, hand,,jar,hot-dog ,counter,,counter,,screw closeVhandjarcounter
4660, 82, s17-d71-cam-002, 17, 71, 62.914, 67.437, 1849, 1982, put inV, hand,,jar,hot-dog ,counter,,counter,fridge,put inVhandjarcounterfridge
4661, 82, s17-d71-cam-002, 17, 71, 67.959, 75.655, 1997, 2224, take outV, hand,,tube,mustard ,fridge,,fridge,counter,take outVhandtubeplastic bottlefridgecounter
4662, 82, s17-d71-cam-002, 17, 71, 77.478, 84.3, 2277, 2478, take outV, hand,,plate,,cupboard,,cupboard,counter,take outVhandplatecupboardcounter
4663, 82, s17-d71-cam-002, 17, 71, 85.931, 91.586, 2526, 2692, take outV, hand,,plastic-bag,bun ,cupboard,,cupboard,,take outVhandplastic bagcupboard
4664, 82, s17-d71-cam-002, 17, 71, 93.649, 95.985, 2753, 2821, rip openV, hand,,plastic-bag,bun ,,,,,rip openVhandplastic bag
4665, 82, s17-d71-cam-002, 17, 71, 96.498, 97.755, 2837, 2873, remove from packageV, hand,,bun,,plastic-bag,bun,plastic-bag,plate,remove from packageVhandbunplastic bagplate
4666, 82, s17-d71-cam-002, 17, 71, 97.891, 100.102, 2877, 2942, remove from packageV, hand,,bun,,plastic-bag,bun,plastic-bag,plate,remove from packageVhandbunplastic bagplate
4667, 82, s17-d71-cam-002, 17, 71, 102.167, 106.188, 3003, 3121, put inV, hand,,plastic-bag,bun ,,,,cupboard,put inVhandplastic bagcupboard
4668, 82, s17-d71-cam-002, 17, 71, 109.034, 113.597, 3205, 3339, take outV, hand,,knife,,drawer,,drawer,,take outVhandknifedrawer
4669, 82, s17-d71-cam-002, 17, 71, 116.492, 126.843, 3424, 3729, cutV, knife,,bun,,,,,,cutVknifebun
4670, 82, s17-d71-cam-002, 17, 71, 129.203, 138.469, 3798, 4070, cutV, knife,,bun,,,,,,cutVknifebun
4671, 82, s17-d71-cam-002, 17, 71, 144.15, 145.122, 4238, 4266, turn overV, hand,,tube,mustard ,counter,,counter,,turn overVhandtubecounter
4672, 82, s17-d71-cam-002, 17, 71, 224.519, 226.055, 6600, 6646, take lidV, hand,,lid,,pot,hot-dog,pot,,take lidVhandlidpot
4673, 82, s17-d71-cam-002, 17, 71, 226.258, 229.251, 6651, 6739, stirV, fork,,hot-dog,,pot,,pot,,stirVforkhot dogwaterpot
4674, 82, s17-d71-cam-002, 17, 71, 229.251, 230.542, 6739, 6777, put lidV, hand,,lid,,pot,hot-dog,pot,,put lidVhandlidpot
4675, 82, s17-d71-cam-002, 17, 71, 235.631, 238.605, 6927, 7014, cleanV, sponge-cloth,,counter,,,,,,cleanVsponge clothcounter
4676, 82, s17-d71-cam-002, 17, 71, 238.605, 240.918, 7014, 7082, moveV, hand,,sponge-cloth,,counter,,counter,tap,moveVhandsponge clothcountertap
4677, 82, s17-d71-cam-002, 17, 71, 240.918, 242.891, 7082, 7140, dryV, towel,,hand,,,,,,dryVtowelhand
4678, 82, s17-d71-cam-002, 17, 71, 244.996, 246.877, 7202, 7258, turn offV, hand,,stove,,,,,,turn offVhandstove
4679, 82, s17-d71-cam-002, 17, 71, 257.373, 264.28, 7566, 7769, take lidV, hand,,lid,,pot,hot-dog,pot,sink,take lidVhandlidpotsink
4680, 82, s17-d71-cam-002, 17, 71, 264.939, 266.379, 7789, 7831, moveV, hand,,plate,bun ,counter,,counter,counter,moveVhandplatecountercounter
4681, 82, s17-d71-cam-002, 17, 71, 270.514, 275.987, 7953, 8114, put inV, fork,,hot-dog,cooked ,pot,water,pot,bun,put inVforkhot dogpotbun
4682, 82, s17-d71-cam-002, 17, 71, 281.588, 286.236, 8278, 8415, put inV, fork,,hot-dog,cooked ,pot,water,pot,bun,put inVforkhot dogpotbun
4683, 82, s17-d71-cam-002, 17, 71, 287.29, 288.426, 8446, 8479, moveV, hand,,plate,bun hot-dog ,counter,,counter,counter,moveVhandplatecountercounter
4684, 82, s17-d71-cam-002, 17, 71, 290.41, 295.206, 8538, 8679, screw openV, hand,,tube,mustard ,,,,,screw openVhandtube
4685, 82, s17-d71-cam-002, 17, 71, 296.326, 305.838, 8711, 8991, put onV, tube,,mustard,,tube,mustard,tube,hot-dog,put onVtubemustardtubehot dog
4686, 82, s17-d71-cam-002, 17, 71, 307.445, 308.854, 9038, 9080, screw closeV, hand,,tube,mustard ,,,,,screw closeVhandtube
4687, 82, s17-d71-cam-002, 17, 71, 310.44, 311.608, 9126, 9161, openV, hand,,plastic-bottle,ketchup ,,,,,openVhandplastic bottle
4688, 82, s17-d71-cam-002, 17, 71, 314.01, 323.586, 9231, 9513, put onV, plastic-bottle,,ketchup,,plastic-bottle,ketchup,plastic-bottle,hot-dog,put onVplastic bottleketchupplastic bottlehot dog
4689, 82, s17-d71-cam-002, 17, 71, 323.561, 324.73, 9512, 9547, put lidV, hand,,lid,,plastic-bottle,ketchup,plastic-bottle,,put lidVhandlidplastic bottle
4690, 82, s17-d71-cam-002, 17, 71, 326.797, 332.755, 9607, 9782, washV, hand,,hand,,,,,,washVhandhand
4691, 82, s17-d71-cam-002, 17, 71, 332.755, 333.945, 9782, 9817, shakeV, hand,,hand,,,,,,shakeVhandhand
4692, 82, s17-d71-cam-002, 17, 71, 334.884, 335.492, 9845, 9863, moveV, hand,,knife,,counter,,counter,counter,moveVhandknifecountercounter
4693, 82, s17-d71-cam-002, 17, 71, 336.122, 336.734, 9881, 9899, shakeV, hand,,hand,,,,,,shakeVhandhand
4694, 82, s17-d71-cam-002, 17, 71, 337.229, 338.095, 9914, 9939, moveV, hand,,towel,,handle,,handle,,moveVhandtowelhandle
4695, 82, s17-d71-cam-002, 17, 71, 338.095, 339.632, 9939, 9985, dryV, towel,,hand,,,,,,dryVtowelhand
4696, 83, s17-d74-cam-002, 17, 74, 5.238, 7.142, 153, 209, enterV, ,,,,,,,,enterV
4697, 83, s17-d74-cam-002, 17, 74, 7.517, 12.993, 220, 381, take outV, hand,,coffee-machine,,cupboard,,cupboard,counter,take outVhandcoffee machinecupboardcounter
4698, 83, s17-d74-cam-002, 17, 74, 14.183, 15.884, 416, 466, closeV, hand,,,,cupboard,,cupboard,,closeVhandcupboard
4699, 83, s17-d74-cam-002, 17, 74, 17.38, 19.183, 510, 563, pull upV, hand,,electricity-column,,,,,,pull upVhandelectricity column
4700, 83, s17-d74-cam-002, 17, 74, 21.632, 26.156, 635, 768, plugV, hand,,electricity-plug,,electricity-column,,electricity-column,,plugVhandelectricity plugelectricity column
4701, 83, s17-d74-cam-002, 17, 74, 29.149, 31.972, 856, 939, take apartV, hand,,carafe,,coffee-machine,,coffee-machine,counter,take apartVhandcarafecoffee machinecounter
4702, 83, s17-d74-cam-002, 17, 74, 32.278, 33.401, 948, 981, openV, hand,,lid,water-reservoir ,,,,,openVhandlid
4703, 83, s17-d74-cam-002, 17, 74, 36.768, 42.959, 1080, 1262, take outV, hand,,glass,,cupboard,,cupboard,,take outVhandglasscupboard
4704, 83, s17-d74-cam-002, 17, 74, 46.02, 49.013, 1352, 1440, put inV, hand,,glass,,,,,cupboard,put inVhandglasscupboard
4705, 83, s17-d74-cam-002, 17, 74, 50.044, 50.584, 1471, 1487, openV, finger,,lid,carafe ,,,,,openVfingerlid
4706, 83, s17-d74-cam-002, 17, 74, 50.694, 52.653, 1490, 1547, moveV, hand,,carafe,,counter,,counter,,moveVhandcarafecounter
4707, 83, s17-d74-cam-002, 17, 74, 53.163, 56.904, 1562, 1672, fillV, tap,,water,,carafe,,carafe,,fillVtapwatercarafe
4708, 83, s17-d74-cam-002, 17, 74, 57.34, 57.857, 1685, 1700, closeV, finger,,lid,carafe ,,,,,closeVfingerlid
4709, 83, s17-d74-cam-002, 17, 74, 59.897, 66.938, 1760, 1967, pourV, carafe,water ,water,,carafe,water,carafe,water-reservoir,pourVcarafewatercarafewater reservoir
4710, 83, s17-d74-cam-002, 17, 74, 69.977, 70.256, 2057, 2065, openV, finger,,lid,carafe ,,,,,openVfingerlid
4711, 83, s17-d74-cam-002, 17, 74, 70.416, 73.979, 2070, 2174, fillV, tap,,water,,carafe,,carafe,,fillVtapwatercarafe
4712, 83, s17-d74-cam-002, 17, 74, 75.272, 78.231, 2212, 2299, pourV, carafe,water ,water,,carafe,water,carafe,water-reservoir,pourVcarafewatercarafewater reservoir
4713, 83, s17-d74-cam-002, 17, 74, 79.115, 80.85, 2325, 2376, pourV, carafe,water ,water,,carafe,water,carafe,sink,pourVcarafewatercarafesink
4714, 83, s17-d74-cam-002, 17, 74, 82.687, 83.571, 2430, 2456, closeV, hand,,lid,coffee-machine ,,,,,closeVhandlid
4715, 83, s17-d74-cam-002, 17, 74, 83.741, 85.34, 2461, 2508, openV, hand,,coffee-machine,filter-basket ,,,,,openVhandcoffee machine
4716, 83, s17-d74-cam-002, 17, 74, 87.585, 94.523, 2574, 2778, take outV, hand,,paper-box,coffee-filter ,cupboard,,cupboard,counter,take outVhandpaper boxcoffee containercupboardcounter
4717, 83, s17-d74-cam-002, 17, 74, 95.918, 97.312, 2819, 2860, closeV, hand,,,,cupboard,,cupboard,,closeVhandcupboard
4718, 83, s17-d74-cam-002, 17, 74, 98.945, 103.877, 2908, 3053, take outV, hand,,coffee-filter,,paper-box,coffee-filter,paper-box,,take outVhandcoffee filterpaper box
4719, 83, s17-d74-cam-002, 17, 74, 106.608, 109.489, 3134, 3218, addV, hand,,coffee-filter,,filter-basket,,filter-basket,,addVhandcoffee filterfilter basket
4720, 83, s17-d74-cam-002, 17, 74, 110.644, 111.768, 3252, 3285, openV, hand,,lid,coffee-container coffee-powder ,,,,,openVhandlid
4721, 83, s17-d74-cam-002, 17, 74, 112.823, 117.789, 3316, 3462, addV, measuring-spoon,,coffee-powder,,coffee-container,coffee-powder,coffee-container,filter-basket,addVmeasuring spooncoffee powdercoffee containerfilter basket
4722, 83, s17-d74-cam-002, 17, 74, 117.909, 120.47, 3466, 3541, shakeV, hand,,measuring-spoon,coffee-powder ,,,,,shakeVhandmeasuring spoon
4723, 83, s17-d74-cam-002, 17, 74, 120.782, 121.53, 3550, 3572, put inV, hand,,measuring-spoon,,,,,coffee-container,put inVhandmeasuring spooncoffee container
4724, 83, s17-d74-cam-002, 17, 74, 122.21, 124.795, 3592, 3668, closeV, hand,,lid,coffee-container ,,,,,closeVhandlid
4725, 83, s17-d74-cam-002, 17, 74, 130.665, 133.231, 3841, 3916, closeV, hand,,coffee-machine,filter-basket coffee-filter coffee-powder ,,,,,closeVhandcoffee machine
4726, 83, s17-d74-cam-002, 17, 74, 134.285, 137.803, 3947, 4051, assembleV, hand,,carafe,,coffee-machine,,coffee-machine,,assembleVhandcarafecoffee machine
4727, 83, s17-d74-cam-002, 17, 74, 138.265, 140.272, 4064, 4123, turn onV, hand,,coffee-machine,,,,,,turn onVhandcoffee machine
4728, 83, s17-d74-cam-002, 17, 74, 142.266, 146.632, 4182, 4310, put inV, hand,,coffee-container,coffee-powder ,counter,,counter,cupboard,put inVhandcoffee containercountercupboard
